DIA,MES,AÑO,LECHE_PARA_QUESILLO (LTS),TOTAL_PROCESADO (LTS),PRODUCCION (QTY)
24,8,2020,5.666,7.766,3.286
25,8,2020,0,0,0
26,8,2020,7.710,12.210,4.450
27,8,2020,6.619,10.619,3.862
28,8,2020,5.700,7.800,3.288
29,8,2020,3.850,7.650,2.213
30,8,2020,7.560,7.560,4.402
31,8,2020,7.560,7.560,4.333
1,9,2020,0,0,0
2,9,2020,7.600,12.100,4.401
3,9,2020,6.829,10.629,3.912
4,9,2020,0,0,0
5,9,2020,7.600,11.685,4.436
6,9,2020,7.153,10.953,4.172
7,9,2020,7.250,7.250,4.169
8,9,2020,0,0,0
9,9,2020,10.962,14.762,6.214
10,9,2020,7.350,7.350,4.185
11,9,2020,0,0,0
12,9,2020,8.774,13.274,5.065
13,9,2020,8.651,8.651,4.981
14,9,2020,2.960,7.460,1.718
15,9,2020,0,0,0
16,9,2020,2.527,11.527,1.461
17,9,2020,0,9.000,0
18,9,2020,3.400,10.148,1.986
19,9,2020,0,0,0
20,9,2020,8.917,13.417,5.061
21,9,2020,4.900,9.400,2.806
22,9,2020,7.443,7.443,0
23,9,2020,8.661,13.161,5.064
24,9,2020,6.832,9.032,3.991
25,9,2020,0,0,0
26,9,2020,10.802,12.802,6.203
27,9,2020,8.851,8.851,5.128
28,9,2020,7.075,7.075,4.013
29,9,2020,0,0,0
30,9,2020,8.615,12.615,4.930
1,10,2020,9.413,9.413,5.469
2,10,2020,0,0,0
3,10,2020,10.638,14.338,6.151
4,10,2020,8.100,8.100,4.599
5,10,2020,7.550,7.550,4.372
6,10,2020,0,0,0
7,10,2020,10.800,14.800,6.169
8,10,2020,6.176,7.976,3.534
9,10,2020,0,0,0
10,10,2020,10.698,15.198,6.153
11,10,2020,3.700,7.700,2.160
12,10,2020,7.650,7.650,4.491
13,10,2020,0,0,0
14,10,2020,10.747,15.247,6.279
15,10,2020,7.700,7.700,4.515
16,10,2020,0,0,0
17,10,2020,8.412,12.912,4.895
18,10,2020,5.000,0,3.008
19,10,2020,7.600,7.600,4.429
20,10,2020,0,0,0
21,10,2020,8.700,13.200,5.101
22,10,2020,8.960,0,5.233
23,10,2020,0,0,0
24,10,2020,8.800,12.600,5.134
25,10,2020,6.130,10.130,3.596
26,10,2020,7.553,7.553,4.443
27,10,2020,0,0,0
28,10,2020,8.750,8.778,5.155
29,10,2020,5.380,5.409,3.153
30,10,2020,0,0,0
31,10,2020,8.700,12.700,4.971
1,11,2020,6.042,10.542,3.508
2,11,2020,7.887,7.887,4.584
3,11,2020,0,0,0
4,11,2020,10.594,15.094,6.230
5,11,2020,8.630,8.630,5.076
6,11,2020,0,0,0
7,11,2020,8.699,12.799,5.045
8,11,2020,6.345,10.845,3.665
9,11,2020,7.865,7.865,4.583
10,11,2020,0,0,0
11,11,2020,10.600,15.100,6.163
12,11,2020,9.100,9.100,5.332
13,11,2020,0,0,0
14,11,2020,6.808,11.308,4.027
15,11,2020,7.846,12.346,4.684
16,11,2020,4.070,7.870,2.381
17,11,2020,0,0,0
18,11,2020,10.601,15.101,6.210
19,11,2020,4.808,8.608,2.814
20,11,2020,0,0,0
21,11,2020,10.679,15.179,6.230
22,11,2020,8.350,8.350,4.937
23,11,2020,7.850,7.850,4.563
24,11,2020,0,0,0
25,11,2020,8.700,13.200,4.983
26,11,2020,9.833,9.833,5.704
27,11,2020,0,0,0
28,11,2020,5.696,10.196,3.259
29,11,2020,8.653,12.453,5.002
30,11,2020,3.900,7.700,2.252
1,12,2020,0,0,0
2,12,2020,10.600,15.100,6.085
3,12,2020,8.427,8.427,4.871
4,12,2020,0,0,0
5,12,2020,8.700,13.200,5.024
6,12,2020,10.311,10.311,5.890
7,12,2020,3.485,7.985,1.990
8,12,2020,0,0,0
9,12,2020,10.600,15.100,6.075
10,12,2020,4.664,8.964,2.666
11,12,2020,0,0,0
12,12,2020,8.700,13.200,4.960
13,12,2020,7.080,10.880,4.037
14,12,2020,8.040,8.040,4.610
15,12,2020,0,0,0
16,12,2020,10.600,14.400,6.042
17,12,2020,6.150,9.950,3.558
18,12,2020,0,0,0
19,12,2020,8.700,13.200,4.931
20,12,2020,6.650,11.150,3.779
21,12,2020,4.420,8.220,2.532
22,12,2020,0,0,0
23,12,2020,7.600,16.600,4.247
24,12,2020,3.750,8.250,2.159
25,12,2020,0,0,0
26,12,2020,8.700,13.200,4.959
27,12,2020,10.800,10.800,6.139
28,12,2020,4.400,8.300,2.508
29,12,2020,0,0,0
30,12,2020,3.400,12.400,1.970
31,12,2020,3.650,11.950,2.120
